week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Kansas City,Carolina,Seattle,Houston,New England,Arizona,Cincinnati,Dallas,NY Giants,Baltimore,Pittsburgh,Green Bay,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.234470690271405
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Arizona,Indianapolis,Green Bay,Pittsburgh,Denver,Baltimore,Los Angeles,Minnesota,-4.2344760567285045
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Miami,Arizona,Minnesota,Green Bay,Los Angeles,Indianapolis,-4.23447647208541
Arizona,Carolina,Oakland,Houston,Pittsburgh,Seattle,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Buffalo,New England,NY Giants,-4.234494251703121
Arizona,Carolina,Pittsburgh,Houston,New England,Seattle,Cincinnati,Green Bay,Kansas City,Baltimore,Detroit,Miami,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.2345514822771495
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Arizona,Indianapolis,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,NY Giants,-4.234633094313814
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Dallas,Pittsburgh,Denver,Kansas City,Los Angeles,Minnesota,-4.234675495980571
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Denver,Kansas City,Baltimore,Pittsburgh,Dallas,Arizona,Minnesota,Green Bay,Los Angeles,Indianapolis,-4.234727791046931
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Carolina,Green Bay,Denver,Minnesota,Kansas City,Los Angeles,Indianapolis,-4.234774059834574
Seattle,Arizona,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Miami,Denver,Minnesota,Buffalo,Los Angeles,Carolina,-4.234822036441251
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Denver,NY Giants,Baltimore,Pittsburgh,Buffalo,Arizona,Minnesota,Kansas City,New Orleans,Indianapolis,-4.2348671209789694
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Buffalo,Pittsburgh,Denver,Arizona,Los Angeles,Minnesota,-4.234983097994148
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Buffalo,Pittsburgh,Denver,Green Bay,San Diego,Minnesota,-4.234986861470925
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Oakland,Kansas City,Baltimore,Pittsburgh,Dallas,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.235109138485315
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Arizona,Los Angeles,NY Giants,-4.235140135579457
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Green Bay,San Diego,NY Giants,-4.235143899056235
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Oakland,Kansas City,Arizona,Detroit,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Indianapolis,-4.235269301669582
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Arizona,Kansas City,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Indianapolis,-4.2353085032529565
Seattle,Carolina,Miami,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Arizona,Pittsburgh,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Indianapolis,-4.235359745148167
Seattle,Carolina,NY Giants,Houston,New England,Green Bay,Cincinnati,Denver,Kansas City,Baltimore,Pittsburgh,Miami,Arizona,Minnesota,Buffalo,San Diego,Indianapolis,-4.235514891409908
Arizona,Carolina,Pittsburgh,Houston,New England,Seattle,Cincinnati,Green Bay,Kansas City,Baltimore,Detroit,Dallas,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.235658175169223
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Pittsburgh,Buffalo,Arizona,Minnesota,Kansas City,New Orleans,Indianapolis,-4.235722494909521
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Oakland,Kansas City,Baltimore,Detroit,Buffalo,Denver,Minnesota,Arizona,Los Angeles,Indianapolis,-4.2357763429352255
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Cincinnati,Oakland,Kansas City,Baltimore,Detroit,Buffalo,Denver,Minnesota,Green Bay,San Diego,Indianapolis,-4.235780106412003
