week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
Baltimore,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Buffalo,Kansas City,New England,Miami,LA Rams,Tennessee,Denver,Carolina,Indianapolis,Minnesota,-4.5024758625223065
San Francisco,Denver,Cincinnati,Philadelphia,Tampa Bay,Green Bay,Las Vegas,Dallas,LA Chargers,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.502509531233224
San Francisco,LA Rams,Cincinnati,Philadelphia,Tampa Bay,Green Bay,Las Vegas,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,Baltimore,Jacksonville,Tennessee,-4.502519101609778
San Francisco,Green Bay,Cincinnati,LA Chargers,Tampa Bay,Indianapolis,Denver,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.502523813646537
Indianapolis,Denver,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Washington,Minnesota,-4.502528320767723
Indianapolis,San Francisco,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,Denver,Baltimore,Washington,LA Rams,-4.502559018101215
Indianapolis,LA Rams,Cincinnati,Philadelphia,Tampa Bay,San Francisco,Denver,Dallas,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,LA Chargers,Tennessee,-4.502569863599691
Baltimore,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Buffalo,Kansas City,New England,Miami,Minnesota,Tennessee,Denver,Carolina,Indianapolis,LA Rams,-4.50260078267606
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Las Vegas,Dallas,Cincinnati,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,Baltimore,Detroit,Tennessee,-4.502622592330001
Indianapolis,Denver,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Washington,LA Rams,-4.502653240921478
